Protegido,Controlado,Autoaislado,Individualista,Simbólico,CC
0.002202109917423189,0.9276683731127506,3.541152908603298e-07,0.0013148833299307474,0.06881427952460473,8702029
0.005797013272717829,0.8761391445819601,6.559729215747022e-07,0.0020758181733800153,0.11598736799902068,8702056
2.3550460472639167e-07,0.002949295146642458,7.1025865765493695e-06,0.06947709805585284,0.9275662687063235,8702012
9.804553941494052e-06,0.2538666752469264,1.550150030820173e-07,0.6927614324180357,0.053361932766093245,8702015
0.04064215548913392,0.8642142788637004,6.962678431204839e-05,0.04203016836810782,0.053043770494745825,8702017
9.751772179838313e-09,0.00012256051506729198,1.156449817294316e-05,0.008986956874275203,0.9908789083607122,8702031
0.6585514327364714,0.00965170559617811,2.678134075804289e-05,0.03473278126832628,0.2970372990582661,8702006
0.9570460045120206,0.02708358175005503,5.580985086947069e-07,1.190694551184729e-05,0.01585794869390372,8702007
3.519600747593133e-11,4.2849833980149075e-07,2.0745070179352217e-05,0.0001825974902401362,0.9997962289060446,8702009
0.004270205929416091,0.6706961877586208,9.484510755914103e-07,0.011724231455323569,0.31330842640556383,8702037
0.8863208085785674,0.006153324707839049,4.795069318306391e-07,3.902840089356055e-06,0.1075214843665724,8702038
0.005797013272717829,0.8761391445819601,6.559729215747022e-07,0.0020758181733800153,0.11598736799902068,8702042
0.010722534172229957,0.000999755034802109,3.297744230021217e-05,1.0987624839663428e-07,0.9882446234744192,8702044
6.172038998199048e-06,0.04860085519901842,4.531067403162196e-07,0.8807375858050516,0.07065493385019139,8702020
1.1711237112490578e-05,0.048205670382195975,1.608458200483184e-06,0.7711122624863224,0.1806687474361686,8702024
0.9981759808118467,0.0006992890325986232,2.8354802588918904e-09,1.802285001067568e-07,0.0011245470915742537,8703113
3.435273967712351e-11,8.729260778975791e-07,7.94469367351382e-06,0.0003211179392715239,0.9996700644066243,8703105
0.008832783819597949,0.9377668290005732,1.315214421489662e-06,0.010007422169563442,0.0433916497958439,8703005
0.006536475609519563,0.8358831206098578,2.2258131214640927e-06,0.013316239054852389,0.1442619389126488,8703006
0.006536475609519563,0.8358831206098578,2.2258131214640927e-06,0.013316239054852389,0.1442619389126488,8703008
3.7877981502310653e-10,3.4457833641416297e-06,2.0130124527602946e-05,0.001088600343444112,0.9988878233698844,8703098
0.0031706539351799307,0.8754187385940403,1.0770790919379885e-06,0.0029319516257070148,0.11847757876598078,8703016
7.289342904445525e-05,0.005929341752565757,1.1290653091030422e-06,0.848410931645978,0.14558570410710261,8703043
0.004183102409033719,0.9588724646049868,6.213712527791565e-07,0.0021512611598318463,0.034792550454894815,8703084
0.07479847296344778,0.2376776358242617,1.28744332514902e-05,0.28437463764693977,0.4031363791320993,8703029
0.011960655641554501,0.8372568152293334,1.3566971262602166e-06,0.009435610009081281,0.14134556242290447,8703064
0.8903658427415836,0.08139976644981631,8.596708560552511e-07,4.331736424814312e-06,0.028229199401319086,8703067
0.0022565129053724506,0.6601958233120001,1.8486464057457499e-06,0.004988044608501942,0.33255777052771973,8703033
