CC,MUN,LAT,LON,YEAR,SUP,NVIV,VAI,VPA,VAD,PMC,PMA,CON,PIS,PTP,PBA,CFU,CGO,GIM,PAR,MOB,JAR
8702052,GRANADA,446736.943,4111639.721,2017,3218.0,120,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
8702053,GRANADA,446631.756,4111647.813,2014,5309.0,202,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
8702054,GRANADA,446473.975,4111657.927,2006,15181.0,315,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
8702055,GRANADA,446518.477,4111732.772,2008,7503.0,159,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1
8702056,GRANADA,446265.624,4111649.836,2015,2640.0,64,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
8702057,GRANADA,446168.528,4111684.224,2006,3965.0,61,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
8702012,GRANADA,446344.958,4113294.233,1985,8206.0,177,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
8702013,GRANADA,446451.287,4113324.753,1985,3395.0,77,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
8702015,GRANADA,446483.776,4113253.868,1979,6145.0,124,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1
8702016,GRANADA,446409.937,4113250.914,1982,4189.0,75,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
8702017,GRANADA,446537.925,4113181.997,1983,2793.0,64,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
8702018,GRANADA,446508.389,4113154.431,1986,2967.0,79,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
8702019,GRANADA,446428.643,4113077.638,1980,7099.0,124,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
8702030,GRANADA,446569.43,4112804.925,1986,5149.0,103,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
8702031,GRANADA,446514.297,4112872.857,1983,3251.0,86,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
8702002,GRANADA,446052.555,4113878.056,2003,3427.0,81,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
8702004,GRANADA,446140.177,4113563.993,1989,2544.0,36,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
8702005,GRANADA,445964.932,4113492.123,1998,5306.0,57,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
8702006,GRANADA,445938.35,4113374.964,1997,3588.0,25,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
8702007,GRANADA,446002.344,4113428.128,2000,2139.0,24,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
8702008,GRANADA,446025.973,4113438.958,1998,2158.0,16,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
8702009,GRANADA,446186.45,4113427.144,1989,1643.2299999999998,639,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
8702010,GRANADA,445978.715,4113282.419,1996,2234.0,35,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
8702032,GRANADA,446339.051,4112735.023,1992,2253.0,7,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
8702046,GRANADA,446119.075,4112147.366,1994,3231.0,28,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
8702047,GRANADA,446098.739,4112109.905,1995,2474.0,65,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
8702048,GRANADA,446301.025,4112199.81,1980,9341.0,250,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
8702049,GRANADA,447054.512,4112219.076,1993,3715.0,89,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
8702050,GRANADA,447199.002,4112216.935,1993,3753.0,89,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
8702033,GRANADA,446082.09,4112851.197,1999,2428.0,66,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
8702034,GRANADA,446061.415,4112826.584,2000,1957.0,65,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
8702035,GRANADA,446057.692,4112794.891,2013,773.0,20,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
8702036,GRANADA,446067.7,4112719.974,2016,1563.0,34,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1
8702037,GRANADA,446051.646,4112694.287,2017,1584.0,35,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1
8702038,GRANADA,445957.46,4112639.701,2006,14250.0,333,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1
8702039,GRANADA,445855.782,4112654.686,2006,1360.0,44,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
8702040,GRANADA,445808.689,4112595.819,2010,1425.0,36,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
8702041,GRANADA,445863.274,4112560.5,2003,2628.0,61,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
8702042,GRANADA,445837.587,4112527.32,2007,1997.0,61,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0
8702043,GRANADA,445829.025,4112472.735,2018,1201.0,24,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
8702044,GRANADA,445898.594,4112480.228,2007,7270.0,137,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
8702045,GRANADA,445801.197,4112367.847,1976,15765.0,243,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
8702020,GRANADA,446952.41,4113450.773,1982,6036.0,66,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
8702021,GRANADA,447013.45,4113360.196,1982,4801.0,55,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
8702022,GRANADA,446775.196,4113292.264,1987,2865.0,72,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
8702023,GRANADA,446749.598,4113205.626,1985,7195.0,119,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
8702024,GRANADA,446811.623,4113162.307,1984,5427.0,148,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
8703111,GRANADA,446876.47,4115747.817,2001,7901.0,35,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
8703112,GRANADA,447055.796,4115703.8,1984,7007.14,43,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
8703113,GRANADA,446992.217,4115871.715,1992,24413.0,59,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1
